timestamp,score
1777735238.1150854,1.0
1777735240.3046994,1.0
1777735242.527791,1.0
1777735244.7410798,1.0
1777735246.9425087,1.0
1777735249.1541,1.0
1777735251.3677955,1.0
1777735253.5634902,1.0
1777735255.7749193,1.0
1777735257.985651,1.0
1777735260.1944456,1.0
1777735262.396154,1.0
1777735264.6117406,1.0
1777735266.8225448,1.0
1777735269.0368233,1.0
1777735271.241038,1.0
1777735273.4463768,1.0
1777735275.6668973,1.0
1777735277.8611596,1.0
1777735280.1470766,1.0
1777735282.3409507,1.0
1777735284.5569863,1.0
1777735286.747479,1.0
1777735288.9667885,1.0
1777735291.1780016,1.0
1777735293.3761852,1.0
1777735295.5822463,1.0
1777735297.796575,1.0
1777735299.991222,1.0
1777735302.1990106,1.0
1777735304.4129078,1.0
1777735306.6095173,1.0
1777735308.8109016,1.0
1777735311.0245023,1.0
1777735313.2245994,1.0
1777735315.4259171,1.0
1777735317.6415253,1.0
1777735319.8314273,1.0
1777735322.0304236,1.0
1777735324.2454517,1.0
1777735326.435766,1.0
1777735328.6360626,1.0
1777735330.8491998,1.0
1777735333.0354455,1.0
1777735335.239067,1.0
1777735337.455507,1.0
1777735339.6436841,1.0
1777735341.8480828,1.0
1777735344.0672867,1.0
1777735346.2587426,1.0
1777735348.4559672,1.0
1777735350.671088,1.0
1777735352.8678124,1.0
1777735355.0673838,1.0
1777735357.2892535,1.0
1777735359.4801233,1.0
1777735361.6816251,1.0
1777735363.8956583,1.0
1777735366.0858061,1.0
1777735368.2853112,1.0
1777735370.5022888,1.0
1777735372.688796,1.0
1777735374.8930376,1.0
1777735377.170971,1.0
1777735379.3892558,1.0
1777735381.6014023,1.0
1777735383.7922184,1.0
1777735385.990373,1.0
1777735388.3925443,1.0
1777735390.6150396,1.0
1777735392.8023372,1.0
1777735395.0082295,1.0
1777735397.22035,1.0
1777735399.4146163,1.0
1777735401.624433,1.0
1777735403.8376334,1.0
1777735406.040564,1.0
1777735408.245766,1.0
1777735410.4610023,1.0
1777735412.6574104,1.0
1777735414.8643754,1.0
1777735417.078876,1.0
1777735419.2756393,1.0
1777735421.4799824,1.0
1777735423.6875093,1.0
1777735425.8746421,1.0
1777735428.0778995,1.0
1777735430.3021202,1.0
1777735432.5112004,1.0
