timestamp,culprit,detected_at,completed_at,mttr_seconds,confidence,success,level
2026-06-06T14:29:57.661319,CPU,2026-06-06T14:24:03.771279,2026-06-06T14:29:57.661319,353.89,1.0,1,2
2026-06-06T16:35:14.821451,CPU,2026-06-06T16:34:34.982696,2026-06-06T16:35:14.821451,39.839,1.0,1,2
2026-06-06T16:40:39.902096,CPU,2026-06-06T16:37:59.484437,2026-06-06T16:40:39.902096,160.418,1.0,1,2
2026-06-07T10:44:29.199315,CPU,2026-06-07T10:41:48.586151,2026-06-07T10:44:29.199315,160.613,1.0,1,2
2026-06-07T10:57:54.813196,CPU,2026-06-07T10:55:14.289533,2026-06-07T10:57:54.813196,160.524,1.0,1,2
2026-06-07T11:17:08.147363,CPU,2026-06-07T11:16:09.107503,2026-06-07T11:17:08.147363,59.04,1.0,1,2
2026-06-07T11:37:48.895088,CPU,2026-06-07T11:36:54.466822,2026-06-07T11:37:48.895088,54.428,1.0,1,2
