timestamp,anomaly_score,executed_level,CPU,MEMORY,STORAGE,NETWORK
2026-06-06 12:50:07,-0.8269,1,67.5,3.4897565841674805,54.28811363615183,415.8
2026-06-06 12:50:40,-0.823,1,64.0,3.5073280334472656,54.28811363615183,415.8
2026-06-06 12:53:29,-0.8202,1,63.0,3.850245475769043,54.28811363615183,415.8
2026-06-06 12:54:01,-0.8359,1,77.5,3.847336769104004,54.28811363615183,415.8
2026-06-06 12:54:33,-0.8427,1,90.5,3.8466930389404297,54.28811363615183,415.8
2026-06-06 12:55:06,-0.8427,2,94.5,3.8753271102905273,54.28811363615183,415.8
2026-06-06 12:55:38,-0.8427,2,100.49999999999999,3.8628578186035156,54.28811363615183,415.8
2026-06-06 12:56:10,-0.8427,4,106.0,3.862762451171875,54.28811363615183,415.8
2026-06-06 12:56:42,-0.8427,4,119.5,3.8620948791503906,54.28811363615183,415.8
2026-06-06 12:57:14,-0.8427,5,114.5,3.8673877716064453,54.28811363615183,415.8
2026-06-06 12:57:46,-0.8427,5,118.0,3.908109664916992,54.28811363615183,1035.8
2026-06-06 12:58:18,-0.8427,5,91.0,3.545355796813965,54.28811363615183,462.6
